_ 0:,
K24.D3 144:1>1,2>23,3>8,4>8,6>76,12>28,
L24.D3 144:1>1,2>39,3>8,4>24,6>60,12>12,
I24.D3 144:1>1,2>55,3>8,4>8,6>44,12>28,
S4.D3 144:1>1,2>39,3>26,4>24,6>42,12>12,
A4^2 144:1>1,2>15,3>80,6>48,
G144 144:1>1,2>21,3>8,4>54,6>24,8>36,
S3_2 168:1>1,2>21,3>56,4>42,7>48,
S2_7 168:1>1,2>7,3>56,6>56,7>48,
G180 180:1>1,2>15,3>62,5>24,6>30,15>48,
Qr.S4 192:1>1,2>19,3>8,4>108,6>8,12>48,
R?  192:1>1,2>43,3>32,4>84,6>32,
Cb4 192:1>1,2>43,3>32,4>36,6>32,8>48,
Oct4 192:1>1,2>27,3>32,4>36,6>96,
G240 240:1>1,2>51,3>20,4>60,5>24,6>60,10>24,
G2_7 336:1>1,2>49,3>56,4>42,6>56,7>48,8>84,
A6  360:1>1,2>45,3>80,4>90,5>144,
S2_9 360:1>1,2>45,3>62,4>90,5>24,6>90,15>48,
G384 384:1>1,2>75,3>32,4>132,6>96,8>48,
S2_11 660:1>1,2>55,3>110,5>264,6>110,11>120,
S6   720:1>1,2>75,3>80,4>180,5>144,6>240,
G2_9 720:1>1,2>45,3>80,4>270,5>144,8>180,
GX  1344:1>1,2>91,3>224,4>420,6>224,7>384,
A7  2520:1>1,2>105,3>350,4>630,5>504,6>210,7>720,
S7  5040:1>1,2>231,3>350,4>840,5>504,6>1470,7>720,10>504,12>420,
M11 7920:1>1,2>165,3>440,4>990,5>1584,6>1320,8>1980,11>1440,
A8 20160:1>1,2>315,3>1232,4>3780,5>1344,6>5040,7>5760,15>2688,
S8 40320:1>1,2>763,3>1232,4>5460,5>1344,6>10640,7>5760,8>5040,10>4032,12>3360,15>2688,
