7    71  33 244 106 8 
7    76 193 212 220 10
7    32 224 138 281 11
7   144 246 280 289 10
7   378  88 438  98 8 
7   448 108 518 118 10
7   333 164 554 174 11
7   284 212 385 222 15
7   377 232 503 242 12
8    76 193 212 220 10
8    32 224 138 281 11
8   144 246 280 289 10
8    68 101 251 191 7 
8   469  53 570  61 15
8   280 172 444 181 7 
8   495 212 595 222 9 
9   282  57 344  67 8 
9   446 153 545 163 15
10   71  33 244 106 8 
10   68 101 251 191 7 
10   32 224 138 281 11
10  511  51 581  62 8 
10  284  78 418  87 11
10  376  98 478 108 15
11   71  33 244 106 8 
11   76 193 212 220 10
11   68 101 251 191 7 
12  181  36 260  46 8 
12  277  73 340  83 7 
12  197 174 254 184 10
12  202 217 331 227 16
12  279 238 334 248 11
13  225  65 480  75 16
13  142 199 383 209 18
13  139 221 385 231 22 
14  216 144 479 154 24
14  211 242 401 252 16
15  344  36 408  46 7 
15  292  93 480 102 17
15  439 120 510 130 8
15  376 164 526 174 20
15  349 240 475 250 8
16   34  36 159  46 10
16  355  36 424  45 8
17  272  38 344  48 8
17  101  69 163  79 7
17  318 270 444 280 10
18  514  27 551  37 20
18  404  37 474  47 8
18  155  47 219  57 8
18  104  81 304  91 8
18  379 107 561 117 12
18   20 167 123 178 21
18  406 168 594 178 17
18  217 198 377 208 20
18  333 226 462 235 34
18  272 265 423 278 19
19   76  37 132  47 12
19  262  37 322  47 7
19   52  77 179  87 21
19  216  87 398  97 17
19  220 111 393 121 15
19  236 191 308 201 8
20  415  37 469  47 15
20  400  74 469  84 8
20  464 122 566 132 15
20  389 142 579 152 17
20  521 209 584 219 10
20  241 284 344 294 21
21  383  27 429  37 20
21  170  37 242  47 8
21  189  65 298  75 20
21  223 113 372 123 20
21  277 249 498 259 40
22  271  36 598  47 18
22  174  54 284  64 21
22   66 114 248 124 12
22  486 114 544 124 7
22  264 154 454 164 16
22  211 212 298 222 69
22  196 249 469 259 32
22  282 269 503 279 41
22  331 282 418 292 23
23  115  25 207  36 19
23  261  37 322  47 7
23   16  71  81  81 12
23  408  91 598 101 17
23  201 110 303 120 21
23  219 160 387 169 15
23  391 262 517 272 34
24  544  27 606  37 12
24  111  93 220 103 15
24  277  93 332 103 8
24  494  93 556 103 8
24  117 105 242 114 9
24   47 146 215 162 25
24  225 146 393 162 26
24  404 146 572 162 27
24  308 204 369 214 7
24  148 216 292 226 46
24  387 225 418 235 18
24   48 269 216 285 29
24  228 269 396 285 30
24  407 269 575 285 31
25  150  26 179  36 24
25  334  27 388  37 18
25  423  27 485  37 22
25   44  37 137  47 15
25  508  37 562  47 12
25  471  97 533 107 21
25  176 135 319 145 46
25  191 172 261 182 8
25  316 272 404 282 28
26  459  67 567  77 21
26   98  94 241 106 29
26  414 127 547 138 16
26   34 138 147 149 30
26  162 138 281 149 31
26  218 172 286 182 8
26  489 172 557 182 25 
26  193 273 279 284 28
27  264  26 293  36 24
27  203  38 393  46 17
27  310  65 420  73 21
27   47  83  85  93 29
27  103  83 141  93 30
27  239  83 277  93 31
27  511  85 582  93 8
27  256  95 432 103 31
27   80 215 237 225 20
28   69  26 123  36 21
28  325  26 354  36 24
28  387  36 423  46 29
28  435  36 471  46 30
28  491  36 527  46 31
28  197 104 231 116 25
28  195 160 234 192 26
28  193 241 236 273 27
29   37  26  64  36 24
29  372  26 257  36 32
29   18  61 160  71 28
29  234  62 271  72 25
29  282  62 401  72 26
29  457  62 599  72 27
29  225  89 430  99 34
29  152 109 311 119 16
29  232 149 357 159 26
29   66 169 152 179 24
29  199 274 325 284 30
